"File Name","Main mission","Sub mission","Academic Summary","Link sub folder","","","","","","","","","","","","","","","","","","","","",""
"คลังสื่อวิดีโอพอดแคสต์","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์","เป็นคลังสื่อนวัตกรรมการนิเทศทางไกล (Asynchronous Supervision) ที่บูรณาการองค์ความรู้ 3 มิติหลัก ได้แก่ กระบวนการวัดผลเฉพาะทาง (พหุปัญญา/O-NET) แนวทางการบริหารจัดการสถานศึกษาเพื่อรับการประเมินภายนอก และการสื่อสารนโยบายเชิงระบบ เพื่อให้ครูและผู้บริหารสามารถเข้าถึงคำแนะนำทางวิชาการได้ทุกที่ทุกเวลา","https://www.youtube.com/playlist?list=PLUyZy8gE6N_aknJFyCxvGRTojUvsqs02H","","","","","","","","","","","","","","","","","","","","",""
"เพลย์ลิสต์ Classroom Assessment Tip","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์","เป็นคลังสื่อนวัตกรรมการนิเทศดิจิทัลในรูปแบบวิดีโอขนาดสั้น (Micro-learning) เพื่อพัฒนาวิชาชีพครูรายบุคคล มุ่งเน้นการให้ความรู้และแนวคิดกระชับ (Tips) เกี่ยวกับการบริหารจัดการระบบการวัดและประเมินผลในชั้นเรียน (Classroom Assessment) ความท้าทายด้านเทคโนโลยี และความฉลาดรู้ด้านการประเมิน (Assessment Literacy)","https://www.youtube.com/playlist?list=PLUyZy8gE6N_abHWKZ0pmSbEAr1-0hfpvg","","","","","","","","","","","","","","","","","","","","",""
"Assessment Talk","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์","วิดีโอออนไลน์ที่ใช้ถ่ายทอดสดและบันทึกเทปการเสวนาทางวิชาการ มุ่งเน้นการยกระดับสมรรถนะครูและบุคลากรทางการศึกษา ด้านการวัดและประเมินผลการศึกษาขั้นสูง (EFA, CFA, Mplus) และการประยุกต์ใช้เทคโนโลยีดิจิทัล (Apps Script) เพื่อการบริหารและการนิเทศเชิงระบบ","https://www.youtube.com/playlist?list=PLUyZy8gE6N_aFrglHmzskoJVhL3skDMzz","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มการประยุกต์ใช้ solo และเทศกาล 3 เทศกาล.pdf","กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา","1.2 เครื่องมือการวัดและประเมินผลต้นแบบ","นวัตกรรมการบูรณาการสมรรถนะหลัก 6 ด้าน ร่วมกับ SOLO Taxonomy และภาระงานฐานบริบท 3 เทศกาล เพื่อยกระดับความซับซ้อนเชิงพุทธิปัญญาตามช่วงวัย (ป.3 - ม.6) เปลี่ยนกระบวนทัศน์จากการตัดสินผลเป็นการประเมินเพื่อพัฒนาและการสร้างนั่งร้านการเรียนรู้ (Scaffolding)","https://drive.google.com/file/d/1kiY_0F2vlnmfBCdlFK_TTZHzxCFkNKZl/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มการวิเคราะห์มาตรฐาน วิทย์ ป.6 เอกชน.pdf","กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่","3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร","รายงานสารสนเทศวิเคราะห์แนวโน้มผลทดสอบ O-NET 5 ปี (2563-2567) ของกลุ่มโรงเรียนเอกชนในจังหวัดเชียงใหม่ รายโรงเรียน เพื่อใช้ข้อมูลเชิงลึกเป็นรากฐานและจุดเริ่มต้นในการทำวิจัยในชั้นเรียน (Classroom Action Research) ในการขับเคลื่อนและยกระดับคุณภาพการศึกษาวิทยาศาสตร์","https://drive.google.com/file/d/10XPAWqftZnXRwO8Gc6bg_lPBMCyIeMi6/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มคู่มือ NotebookLM.pdf","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.1 เอกสารวิชาการและสื่อการเรียนรู้ดิจิทัลในรูปแบบไฟล์คงรูป (PDF/e-Book)","คู่มือวิชาการแนวทางการประยุกต์ใช้แพลตฟอร์ม AI ""NotebookLM"" ภายใต้แนวคิด Source-Grounded AI เพื่อช่วยย่อยเอกสารหนาแน่น แปลงเนื้อหาเป็นแผนผังความคิด พอดแคสต์เสียง และคู่มือการเรียนรู้ ช่วยลดเวลาการทำงานวิจัยและเพิ่มประสิทธิภาพการจัดการความรู้ส่วนบุคคล","https://drive.google.com/file/d/1M_UUX5mXrQPDyXIhxF3tnfgwvg6Kx67M/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มคู่มือการใช้คู่มือนิเทศการวิจัยในชั้นเรียน.pdf","กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา","1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""","เอกสารแนวทางการใช้คู่มือนิเทศการวิจัยในชั้นเรียนจำนวน 12 เล่ม สำหรับศึกษานิเทศก์และครูผู้สอนระดับประถมศึกษา นำเสนอกระบวนการอย่างเป็นระบบ ตั้งแต่วินิจฉัยปัญหาจนถึงการประเมินรายงานวิจัย เพื่อให้ครูนำไปจัดกิจกรรมการเรียนรู้โดยมีวิจัยเป็นฐาน","https://drive.google.com/file/d/1-l7z6Rj2BeN3XA5hcj8tY_HfCdJc-2XH/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มคู่มือประกอบการนิเทศการวัดผลในชั้นเรียน.pdf","กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา","1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""","คู่มือแนวทางการขับเคลื่อนการนิเทศผ่านชุดคู่มือวัดผลในชั้นเรียน 12 เล่ม มุ่งพัฒนาศักยภาพครูประถมศึกษากรณีการสร้างและประเมินคุณภาพเครื่องมือวัดผล (พุทธิพิสัย จิตพิสัย ทักษะพิสัย) เพื่อปรับปรุงกระบวนการออกแบบการวัดและประเมินผลให้ตรงตามหลักวิชา","https://drive.google.com/file/d/1ibJAZ5_DFNkldptdJoGkFsSUKxGp35hQ/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มแนวทางการบูรณาการและ AL.pdf","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","กรอบแนวคิดและกรณีศึกษาการจัดการเรียนรู้เชิงรุก (Active Learning) บนสถานการณ์จริงเพื่อบ่มเพาะคุณลักษณะนวัตกรเยาวชน 5 ประการ ผ่านนวัตกรรมการศึกษา 5 มิติ โดยกำหนดบทบาทพฤติกรรมบ่งชี้ชัดเจนของครูในการจัดสภาพแวดล้อมเชิงนิเวศเพื่อสร้างนวัตกร","https://drive.google.com/file/d/1_Cpj6eycfA72_c6Z94SymAxYMLNmBG7X/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มแนวทางการสร้างวัฒนธรรมการขับเคลื่อนด้วยข้อมูลในสถานศึกษา.pdf","กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่","3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร","คู่มือเชิงกลยุทธ์ในการเปลี่ยนผ่านระบบสถานศึกษาไปสู่องค์กรที่ตัดสินใจด้วยข้อมูล (Data-Driven Decision Making) โดยขับเคลื่อนผ่านรากฐาน 3 ประการ (คุณภาพ ขีดความสามารถ วัฒนธรรม) และ 4 เสาหลัก เพื่อเลี่ยงการใช้ข้อมูลแบบผิวเผินและยกระดับผลลัพธ์ผู้เรียนเชิงระบบ","https://drive.google.com/file/d/1Wu-V7X9L_FGmvtGC7FhA6_2CK3ocwMIn/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มแนวทางการนิเทศเพื่อรอบรับประเมินภาพนอก ขั้นพื้นฐาน final.pdf","กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา","1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""","กรอบแนวทางการนิเทศสถานศึกษาขั้นพื้นฐาน 3 มาตรฐาน 16 ตัวชี้วัด ภายใต้โมเดล MSDLK และแนวคิด Assessment for Learning ขับเคลื่อนร่องรอยหลักฐานเชิงประจักษ์ (SAR) ผ่านการบูรณาการเทคโนโลยี NotebookLM เพื่อลดภาระงานเอกสาร","https://drive.google.com/file/d/1QrI3Fqbvx3-nRBiZwy-kk_NjMR3GqVus/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มแนวทางการนิเทศเพื่อรอบรับประเมินภาพนอกระดับปฐมวัย.pdf","กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา","1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""","คู่มือการนิเทศยกระดับคุณภาพสถานศึกษาปฐมวัยรองรับการประเมิน สมศ. มุ่งเน้นการพัฒนาองค์รวม (Holistic Development) ทักษะสมอง EF และ Play-based Learning ควบคู่กับการใช้เทคโนโลยีวิเคราะห์ ""กระจกสะท้อนการสอน"" ของครู","https://drive.google.com/file/d/13rdcvMvqt8eMQb4XkUP-9Nm8jt7onIAk/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"แนวทางการประเมินผลการเรียนรู้ของผู้เรียนภายใต้สถานการณ์ปัญญาประดิษฐ์","กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่","3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร","รายงานเชิงสถิติและการสังเคราะห์ความคิดเห็นผู้บริหารและครู 384 คน ผ่าน AI (Gemini Pro) นำเสนอภาพรวมทัศนคติเชิงบวกต่อการปรับเปลี่ยนระบบวัดผลสู่ Competency & Hybrid Assessment พร้อมข้อเสนอแนะเชิงนโยบายและแนวปฏิบัติเชิงพื้นที่ในการหนุนเสริมจริยธรรม AI และเครื่องมือลดภาระงานครู","https://drive.google.com/file/d/1kyzAxO9HlOA2n_XdhompbZNdwyvsPR7X/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"การออกแบบการประเมินสมรรถนะของผู้เรียนโดยใช้วันไหว้ครูเป็นฐาน","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","สื่อนำเสนอโครงการเวิร์กชอปเรื่อง ""การออกแบบการประเมินสมรรถนะของผู้เรียนโดยใช้วันไหว้ครูเป็นฐาน"" โดยศึกษานิเทศก์ รัชภูมิ สมสมัย มุ่งเน้นการเชื่อมโยงความรู้ ประสบการณ์ และชีวิตจริง เพื่อปรับเปลี่ยนแนวทางการวัดผลเชิงรุก","https://canva.link/grx1xss1bkogle3","","","","","","","","","","","","","","","","","","","","",""
"การออกแบบนวัตกรรมการศึกษาบนฐานผลการประเมินระดับห้องเรียน / ระดับชาติ และบริบทพื้นถิ่นอำเภอเชียงดาว","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","สื่อนำเสนอโครงการเวิร์กชอปเรื่อง ""การออกแบบการประเมินสมรรถนะของผู้เรียนโดยใช้วันไหว้ครูเป็นฐาน"" โดยศึกษานิเทศก์ รัชภูมิ สมสมัย มุ่งเน้นการเชื่อมโยงความรู้ ประสบการณ์ และชีวิตจริง เพื่อปรับเปลี่ยนแนวทางการวัดผลเชิงรุก","https://canva.link/ehihansjmh55md4","","","","","","","","","","","","","","","","","","","","",""
"แนวทางการประเมินสมรรถนะของผู้เรียนที่สอดคล้อง พรบ.พื้นที่นวัตกรรมการศึกษา","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","สื่อนำเสนอโครงการเวิร์กชอปเรื่อง ""การออกแบบการประเมินสมรรถนะของผู้เรียนโดยใช้วันไหว้ครูเป็นฐาน"" โดยศึกษานิเทศก์ รัชภูมิ สมสมัย มุ่งเน้นการเชื่อมโยงความรู้ ประสบการณ์ และชีวิตจริง เพื่อปรับเปลี่ยนแนวทางการวัดผลเชิงรุก","https://canva.link/omh9ht81j7x8g5g","","","","","","","","","","","","","","","","","","","","",""
"The Barista Leader ชงทักษะคนการศึกษาให้กลมกล่อมในโลก AI","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","สื่อนำเสนอโครงการเวิร์กชอปเรื่อง ""การออกแบบการประเมินสมรรถนะของผู้เรียนโดยใช้วันไหว้ครูเป็นฐาน"" โดยศึกษานิเทศก์ รัชภูมิ สมสมัย มุ่งเน้นการเชื่อมโยงความรู้ ประสบการณ์ และชีวิตจริง เพื่อปรับเปลี่ยนแนวทางการวัดผลเชิงรุก","https://canva.link/bbzc16519guglz4","","","","","","","","","","","","","","","","","","","","",""
"Active Learning / Innovators and Real life","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","สื่อนำเสนอโครงการเวิร์กชอปเรื่อง ""การออกแบบการประเมินสมรรถนะของผู้เรียนโดยใช้วันไหว้ครูเป็นฐาน"" โดยศึกษานิเทศก์ รัชภูมิ สมสมัย มุ่งเน้นการเชื่อมโยงความรู้ ประสบการณ์ และชีวิตจริง เพื่อปรับเปลี่ยนแนวทางการวัดผลเชิงรุก","https://canva.link/t6mtw5t86qzpgr6","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่มการออกแบบกิจกรรมวิทยาศาสตร์ ป.6.pdf","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.1 เอกสารวิชาการและสื่อการเรียนรู้ดิจิทัลในรูปแบบไฟล์คงรูป (PDF/e-Book)","นวัตกรรมสื่อสิ่งพิมพ์ดิจิทัล (e-Book) ต้นแบบการใช้ Prompt Engineering ร่วมกับ AI (Gemini) ในการออกแบบแนวทางกิจกรรมการเรียนรู้และการประเมินผล ที่สอดคล้องกับตัวชี้วัดระหว่างทางและปลายทาง กลุ่มสาระวิทยาศาสตร์และเทคโนโลยี ชั้น ป.6 เพื่อเป็นไอเดียตั้งต้นให้ครูนำไปประยุกต์ใช้ในชั้นเรียน","https://drive.google.com/file/d/1oNuvQMJ0XB4U6GcRqKTcfSOHWAfDvarY/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"คลังวิเคราะห์ตัวชี้วัดบูรณาการและกิจกรรม","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard)","ระบบสารสนเทศ Web-based Dashboard เพื่อการบริหารจัดการหลักสูตร โดยนำเสนอผลการวิเคราะห์และเชื่อมโยงตัวชี้วัดระหว่างทางและตัวชี้วัดปลายทาง (กลุ่มสาระฯ ภาษาไทย ชั้น ป.1) บูรณาการเข้ากับกิจกรรมและเทศกาลสำคัญตามปฏิทินตลอดปีการศึกษา ช่วยให้ครูผู้ออกแบบหน่วยการเรียนรู้สามารถสืบค้นและนำไปใช้จัดการเรียนการเรียนสอนได้อย่างเป็นระบบ","https://subject-activity-analysis-cmpeo.vercel.app/","","","","","","","","","","","","","","","","","","","","",""
"การประเมินรายงานการวิจัยในชั้นเรียน","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","สื่อนำเสนอประกอบการอบรมเชิงปฏิบัติการเพื่อยกระดับสมรรถนะบุคลากรในการทำวิจัยในชั้นเรียน โดยนำเทคโนโลยี AI มาเป็นเครื่องมือช่วยวิเคราะห์และประเมินผลงานวิจัย มุ่งเน้นการเปลี่ยนผ่านจากการทำวิจัยแบบดั้งเดิมสู่กระบวนการที่รวดเร็วและมีประสิทธิภาพสูงขึ้นเพื่อแก้ปัญหาผู้เรียนได้ทันท่วงที","https://canva.link/7cnl5n9ic0uspwk","","","","","","","","","","","","","","","","","","","","",""
"การจัดทำสารสนเทศภายในองค์กรการศึกษาโดยการประยุกต์ใช้ Looker Studio","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป)","","https://canva.link/1zfuesmpl66zjbb","","","","","","","","","","","","","","","","","","","","",""
"แนวทางการสร้างแบบประเมินคุณลักษณะนวัตกรนักเรียนระดับชั้นมัธยมศึกษาตอนต้น","กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ","4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard)","หน้าแรกของระบบสารสนเทศ Web-based Application ""คลังวิเคราะห์ตัวชี้วัดบูรณาการและกิจกรรม"" ที่ออกแบบ Interactivity เชื่อมโยงระดับชั้น ป.1 - ม.3 และปุ่มเมนูเข้าถึงข้อมูลสำคัญ เช่น โครงสร้างปฏิทิน เทศกาล และตัวชี้วัด มุ่งเป้าเป็นศูนย์กลางให้ครูสืบค้นเพื่ออกแบบหน่วยการเรียนรู้ลดเวลาทำงานซ้ำซ้อน","https://canva.link/j1lduvyvakqzflh","","","","","","","","","","","","","","","","","","","","",""
"การออกแบบการประเมินผลการเรียนรู้ที่สอดคล้องกับชีวิตจริง","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์ (Digital Classrooms, Video & Streaming Platforms)","แพลตฟอร์มคลังสื่อและกิจกรรมการเรียนรู้ดิจิทัล แยกตาม 8 กลุ่มสาระฯ และกิจกรรมพัฒนาผู้เรียน มีระบบสืบค้นแผนการจัดการเรียนรู้บูรณาการและวิดีโอประกอบการสอน มุ่งหวังให้เป็นห้องเรียนดิจิทัลต้นแบบสำหรับครูผู้สอนในการดาวน์โหลดและขยายผลเชิงพื้นที่","https://canva.link/by50xg363hzl5ry","","","","","","","","","","","","","","","","","","","","",""
"Storybook การวิจัยในชั้นรียน","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์ (Digital Classrooms, Video & Streaming Platforms)","เป็นการนำเสนอแพลตฟอร์มห้องเรียนดิจิทัลและสื่อมัลติมีเดียออนไลน์เพื่อสนับสนุนการจัดกิจกรรมการเรียนรู้และการนิเทศทางไกล นวัตกรรมนี้ช่วยลดข้อจำกัดเชิงพื้นที่ เพิ่มความยืดหยุ่นในการเข้าถึงองค์ความรู้แก่ครูผู้สอน และเป็นเครื่องมือขับเคลื่อนการนิเทศในยุคดิจิทัลอย่างเป็นระบบ","https://classroom-storybook-portal.vercel.app/","","","","","","","","","","","","","","","","","","","","",""
"Storybook การวัดผลในชั้นรียน","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์ (Digital Classrooms, Video & Streaming Platforms)","ชุดเอกสารแนวทางการทำวิจัยในชั้นเรียนที่แบ่งเนื้อหาเป็นเล่มย่อยแบบเบ็ดเสร็จ (เช่น นวัตกรรม, ประชากรและกลุ่มตัวอย่าง, การเก็บรวบรวมข้อมูล, การเขียนโครงร่าง) เพื่อเป็นคู่มือมาตรฐานให้ครูใช้แก้ปัญหาและพัฒนาการเรียนรู้ของผู้เรียนอย่างเป็นระบบ","https://classroom-storybook-portal.vercel.app/","","","","","","","","","","","","","","","","","","","","",""
"Claude ครูสร้างเว็บ","กลุ่มที่ 4: การพัฒนานวัตกรรมและระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard)","แพลตฟอร์มการเรียนรู้และระบบสารสนเทศอัจฉริยะที่ช่วยยกระดับสมรรถนะครูในการสร้างเว็บสื่อการสอนและพอร์ตโฟลิโอ (วPA) ด้วย Claude AI โดยเป็นนวัตกรรมที่เปลี่ยนบทบาทครูจากผู้ใช้สื่อสู่การเป็น ""ผู้พัฒนาสื่อนวัตกรรมดิจิทัลปฏิสัมพันธ์"" ได้ด้วยตนเองโดยไม่ต้องเขียนโค้ด","https://claude-web-guide-for-teachers.vercel.app/","","","","","","","","","","","","","","","","","","","","",""
"รวมเล่ม school learning map final.pdf","กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่","3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร","เอกสารการจัดทำแผนที่การเรียนรู้ของโรงเรียน (School Learning Map) เชิงระบบ ที่รวบรวมสารสนเทศ ทิศทาง และผลการดำเนินงานของสถานศึกษาในเครือข่าย เพื่อให้ผู้บริหารและศึกษานิเทศก์ใช้เป็นฐานข้อมูลเชิงยุทธศาสตร์ในการตัดสินใจพัฒนาและนิเทศการศึกษาได้ตรงตามบริบทจริง","https://drive.google.com/file/d/1SyioEhFerADIJploYWUoaryqfFsGKeXs/view?usp=sharing","","","","","","","","","","","","","","","","","","","","",""
"ระบบคลัง Prompt for Antigravity 2.0 เพื่อการศึกษา","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.2 การพัฒนาระบบอัตโนมัติและเครื่องมือช่วยปฏิบัติงาน (การเขียนสคริปต์/โค้ด/ระบบอัตโนมัติ)","แพลตฟอร์มสารสนเทศเพื่อการขับเคลื่อนและบริหารจัดการชุดคำสั่ง (Prompt) ในระบบปัญญาประดิษฐ์ (AI) แยกกลุ่มผู้ใช้งานเป็นครูผู้สอน ผู้บริหาร และศึกษานิเทศก์ หนุนเสริมการทำงานเชิงอัตโนมัติและการสังเคราะห์งานวิจัยในชั้นเรียน","https://script.google.com/macros/s/AKfycbwsO5CN6GF8ErK69DDOFMOX71k_cDWGBUfeyY3lpvW648UArtIDgvavxiegCJwONlvt/exec","","","","","","","","","","","","","","","","","","","","",""
"คลังกิจกรรมการเรียนรู้ส่งเสริมพหุปัญญาล้านนา","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard)","แพลตฟอร์ม Web application คลังนวัตกรรมการสอนระดับประถมศึกษา (ป.4-6) ที่บูรณาการ Soft Power ล้านนาเข้ากับพหุปัญญา มีระบบสืบค้นและคัดกรองกิจกรรม (Filter) ตามระดับชั้น บริบทท้องถิ่น และมิติพหุปัญญาหลัก เพื่อให้ครูผู้สอนเข้าถึงแผนการจัดการเรียนรู้และไอเดียการประเมินผลได้สะดวก","https://cm-mi-p4-p6.vercel.app/","","","","","","","","","","","","","","","","","","","","",""
"ระบบประเมินและเรียนรู้องค์ประกอบ Active Learning","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard)","ระบบสารสนเทศดิจิทัล ""Active Learning @ CMPEO"" สนับสนุนการประเมินตนเองของครูและผู้บริหารในการขับเคลื่อนการจัดการเรียนรู้เชิงรุกเชิงพื้นที่ (เชียงใหม่ พ.ศ. 2568-2569) ประมวลผลจากงานวิจัยเชิงโครงสร้างสถิติเพื่อยกระดับขีดความสามารถการสอนอย่างยั่งยืน","https://active-learning-cmpeo.vercel.app/","","","","","","","","","","","","","","","","","","","","",""
"ครูพร้อมใช้ (AI Prompt Library)","กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา","4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard)","แพลตฟอร์ม ""ครูพร้อมใช้ (AI Prompt Library)"" คลังคำสั่งปฏิสัมพันธ์ (Prompt) สำหรับครูเพื่อใช้ AI เจนเนอเรชันสร้างสื่อการสอนและเครื่องมือประเมินสมรรถนะ/พหุปัญญาผู้เรียนรายบุคคล มีระบบแยกหมวดหมู่อาชีพ วัฒนธรรม และปุ่มคัดลอกโค้ดไปใช้ได้ทันที","https://sornorpoom.github.io/prompt-for-digital-art/","","","","","","","","","","","","","","","","","","","","",""
